user_name,status,datetime
Thom Tillis,"Happy 245th birthday to our U.S. Army! 

Susan and I are so thankful for our brave soldiers, who put their lives on the line for our freedoms. https://t.co/cd78QJchc9",2020-06-14 16:12:07.422087
Ted Cruz,This is sad.,2020-06-14 16:19:07.826389
Ted Cruz,I hope that’s not what you’re plan you to do to the NYPD.,2020-06-14 16:24:16.303315
Joni Ernst,Happy 245th Birthday to our great @USArmy! 🇺🇸 https://t.co/bF3PcdRpky,2020-06-14 16:26:08.331157
Rob Portman,"This week, I introduced legislation w/ @SenatorWarren to help military dependents dealing w/ the death or catastrophic disability of a loved one as the result of their service. The legislation allows the dependent to end home &amp; car leases no longer needed w/o financial penalties.",2020-06-14 16:28:01.423977
Ted Cruz,Come and Take It.,2020-06-14 16:28:07.169000
Ted Cruz,Yes.,2020-06-14 16:28:56.475446
Martha McSally,Happy 245th birthday to the oldest branch of our military! Thank you to our incredible soldiers for defending our nation.,2020-06-14 16:29:36.630065
Ted Cruz,Curious. And whom does the media blame?,2020-06-14 16:30:45.878135
Ted Cruz,Very sad. Prayers for the entire Williams family.,2020-06-14 16:32:27.837506
Senator Mike Braun,"Today we celebrate our grand old flag, and all it stands for, and all those who have died to protect it. #flagday2020 https://t.co/QVfSJADMde",2020-06-14 16:33:13.513017
Ted Cruz,I hope that’s not what you’re planning to do to the NYPD.,2020-06-14 16:39:00.132276
Ted Cruz,Now that’s funny.,2020-06-14 16:43:18.183843
Cindy Hyde-Smith,Happy Birthday President Trump! #KAG,2020-06-14 16:48:10.542759
ChuckGrassley,Today shows development of beans from May 1 when we finished planting #soybeanwatch https://t.co/O50QczUKSW,2020-06-14 16:58:02.539686
Lindsey Graham,"Happy birthday to President @realDonaldTrump.

The best is yet to come - hope you had a good round! ⛳",2020-06-14 16:58:45.519814
Josh Hawley,This is pretty awesome - unity in worship in Minneapolis https://t.co/y3Bcv8XrEr,2020-06-14 17:14:53.521444
